symbol,signal_date,entry_date,exit_date,setup,score,entry,stop,target,exit,exit_reason,days_held,ret_pct,r_multiple,year,qty,pnl,equity
CROMPTON,2022-07-15,2022-07-18,2022-07-22,DEAD-CAT BOUNCE,65.0,378.62,396.97,351.1,351.1,TARGET,4,7.172,1.48,2022,2043.6,55493.0,5055493.0
HINDZINC,2022-07-20,2022-07-21,2022-08-01,DEAD-CAT BOUNCE,70.0,204.27,215.13,188.84,201.18,TIME_STOP,7,1.411,0.265,2022,3491.4,10063.0,5065556.0
MCX,2022-07-21,2022-07-22,2022-08-01,DEAD-CAT BOUNCE,82.0,273.8,285.31,258.63,258.63,TARGET,6,5.444,1.295,2022,3300.8,49200.0,5114756.0
GODREJPROP,2022-07-22,2022-07-25,2022-07-29,DEAD-CAT BOUNCE,62.0,1443.56,1513.78,1332.09,1513.78,STOP,4,-4.967,-1.021,2022,546.3,-39170.0,5075586.0
TITAN,2022-07-25,2022-07-26,2022-08-03,DEAD-CAT BOUNCE,53.0,2281.34,2375.45,2146.77,2375.45,STOP,6,-4.227,-1.025,2022,280.5,-27045.0,5048541.0
HINDALCO,2022-08-01,2022-08-02,2022-08-10,DEAD-CAT BOUNCE,89.0,404.5,426.45,365.75,426.45,STOP,5,-5.528,-1.019,2022,1725.0,-38573.0,5009968.0
VEDL,2022-08-01,2022-08-02,2022-08-12,DEAD-CAT BOUNCE,58.0,162.73,171.51,150.63,165.02,TIME_STOP,7,-1.505,-0.279,2022,4279.6,-10481.0,4999487.0
GODREJPROP,2022-08-01,2022-08-02,2022-08-04,DEAD-CAT BOUNCE,53.0,1496.5,1571.98,1392.6,1392.6,TARGET,2,6.846,1.357,2022,496.8,50894.0,5050381.0
INFY,2022-08-05,2022-08-08,2022-08-19,DEAD-CAT BOUNCE,75.0,1421.41,1475.16,1353.45,1407.74,TIME_STOP,7,0.862,0.228,2022,704.7,8634.0,5059016.0
IOC,2022-08-17,2022-08-18,2022-08-24,DEAD-CAT BOUNCE,61.0,60.73,62.38,58.69,58.69,TARGET,4,3.261,1.202,2022,20825.9,41244.0,5100259.0
MPHASIS,2022-12-02,2022-12-05,2022-12-09,DEAD-CAT BOUNCE,81.0,1940.2,2023.7,1836.32,1836.32,TARGET,4,5.257,1.221,2022,458.1,46725.0,5146985.0
ADANIGREEN,2023-03-23,2023-03-24,2023-03-24,DEAD-CAT BOUNCE,72.0,976.77,1029.61,781.47,1029.61,STOP,0,-5.512,-1.019,2023,730.6,-39333.0,5107652.0
BIOCON,2023-05-09,2023-05-10,2023-05-19,DEAD-CAT BOUNCE,59.0,241.75,250.59,230.35,242.63,TIME_STOP,7,-0.467,-0.128,2023,4333.4,-4892.0,5102760.0
ADANIPOWER,2023-05-23,2023-05-24,2023-05-24,DEAD-CAT BOUNCE,79.0,52.0,54.05,46.41,54.05,STOP,0,-4.039,-1.026,2023,18668.6,-39209.0,5063550.0
ADANIGREEN,2023-05-23,2023-05-24,2023-05-24,DEAD-CAT BOUNCE,59.0,987.81,1029.5,912.02,1029.5,STOP,0,-4.323,-1.024,2023,910.9,-38899.0,5024651.0
TATAPOWER,2025-03-24,2025-03-25,2025-04-04,DEAD-CAT BOUNCE,69.0,374.68,390.31,355.5,379.2,TIME_STOP,7,-1.308,-0.314,2025,2411.1,-11816.0,5012835.0
ABCAPITAL,2025-03-24,2025-03-25,2025-04-03,DEAD-CAT BOUNCE,65.0,183.07,193.16,166.67,193.16,STOP,6,-5.615,-1.019,2025,3726.1,-38302.0,4974533.0
