symbol,signal_date,entry_date,exit_date,setup,score,entry,stop,target,exit,exit_reason,days_held,ret_pct,r_multiple
360ONE,2025-10-16,2025-10-17,2025-10-20,BLOWOFF EXTENSION,77.0,1144.35,1173.94,1075.64,1173.94,STOP,1,-2.687,-1.039
ABB,2022-07-11,2022-07-12,2022-07-21,BLOWOFF EXTENSION,61.0,2522.84,2598.22,2341.71,2548.8,TIME_STOP,7,-1.129,-0.378
APLAPOLLO,2025-05-16,2025-05-19,2025-05-19,BLOWOFF EXTENSION,55.0,1767.16,1801.62,1654.92,1801.62,STOP,0,-2.051,-1.052
AUBANK,2023-04-18,2023-04-19,2023-04-28,BLOWOFF EXTENSION,81.0,677.52,699.51,604.74,640.35,TIME_STOP,7,5.388,1.66
ADANIENSOL,2021-08-26,2021-08-27,2021-08-27,BLOWOFF EXTENSION,79.0,1364.08,1379.24,1088.42,1379.24,STOP,0,-1.211,-1.091
ADANIENSOL,2026-05-28,2026-05-29,2026-05-29,BLOWOFF EXTENSION,52.0,1538.56,1574.11,1380.55,1574.11,STOP,0,-2.412,-1.044
ADANIGREEN,2023-03-23,2023-03-24,2023-03-24,DEAD-CAT BOUNCE,72.0,976.77,994.16,781.47,994.16,STOP,0,-1.881,-1.057
ADANIGREEN,2023-05-23,2023-05-24,2023-05-24,DEAD-CAT BOUNCE,59.0,987.81,998.98,912.02,998.98,STOP,0,-1.231,-1.089
ADANIPORTS,2022-04-06,2022-04-07,2022-04-20,BLOWOFF EXTENSION,77.0,816.85,845.31,746.81,803.65,TIME_STOP,7,1.517,0.435
ADANIPOWER,2023-05-23,2023-05-24,2023-05-24,DEAD-CAT BOUNCE,79.0,52.0,52.55,46.41,52.55,STOP,0,-1.16,-1.095
ADANIPOWER,2025-04-23,2025-04-24,2025-04-30,DEAD-CAT BOUNCE,78.0,114.69,118.14,107.03,107.03,TARGET,4,6.581,2.184
ABCAPITAL,2024-04-04,2024-04-05,2024-04-16,BLOWOFF EXTENSION,66.0,203.35,210.45,184.32,210.45,STOP,6,-3.597,-1.029
ABCAPITAL,2025-03-24,2025-03-25,2025-04-02,DEAD-CAT BOUNCE,65.0,183.07,188.99,166.67,188.99,STOP,5,-3.337,-1.031
ABCAPITAL,2025-04-22,2025-04-23,2025-04-23,BLOWOFF EXTENSION,73.0,202.45,208.58,187.1,208.58,STOP,0,-3.132,-1.034
ALKEM,2023-11-09,2023-11-10,2023-11-15,BLOWOFF EXTENSION,76.0,4123.92,4254.21,3713.19,4254.21,STOP,2,-3.261,-1.032
AMBUJACEM,2021-09-06,2021-09-07,2021-09-17,BLOWOFF EXTENSION,55.0,419.75,427.79,397.01,415.6,TIME_STOP,7,0.889,0.464
AMBUJACEM,2026-05-28,2026-05-29,2026-06-01,DEAD-CAT BOUNCE,53.0,457.03,462.56,441.63,441.63,TARGET,1,3.271,2.702
ASHOKLEY,2022-04-11,2022-04-12,2022-04-25,BLOWOFF EXTENSION,67.0,58.34,59.91,54.12,58.18,TIME_STOP,7,0.187,0.07
ASHOKLEY,2023-06-19,2023-06-20,2023-06-30,BLOWOFF EXTENSION,76.0,75.29,77.78,69.99,75.87,TIME_STOP,7,-0.865,-0.262
ASHOKLEY,2025-04-24,2025-04-25,2025-05-07,BLOWOFF EXTENSION,54.0,109.69,112.11,103.2,104.86,TIME_STOP,7,4.299,1.943
ASHOKLEY,2025-06-27,2025-06-30,2025-07-03,BLOWOFF EXTENSION,63.0,121.62,123.57,116.75,123.57,STOP,3,-1.704,-1.063
ASIANPAINT,2025-07-03,2025-07-04,2025-07-08,DEAD-CAT BOUNCE,73.0,2397.99,2450.31,2290.52,2450.31,STOP,2,-2.283,-1.046
ASTRAL,2023-05-09,2023-05-10,2023-05-12,BLOWOFF EXTENSION,59.0,1528.32,1562.74,1443.79,1562.74,STOP,2,-2.354,-1.045
AXISBANK,2022-08-17,2022-08-18,2022-08-29,BLOWOFF EXTENSION,58.0,762.87,774.86,728.46,727.51,TIME_STOP,7,4.538,2.889
AXISBANK,2022-10-24,2022-10-25,2022-11-04,BLOWOFF EXTENSION,56.0,901.01,921.28,806.35,866.04,TIME_STOP,7,3.784,1.682
AXISBANK,2023-06-07,2023-06-08,2023-06-13,BLOWOFF EXTENSION,64.0,963.83,981.83,922.94,981.83,STOP,3,-1.968,-1.054
AXISBANK,2023-12-05,2023-12-06,2023-12-15,BLOWOFF EXTENSION,65.0,1123.33,1154.4,1041.72,1116.52,TIME_STOP,7,0.506,0.183
AXISBANK,2026-06-15,2026-06-16,2026-06-24,BLOWOFF EXTENSION,55.0,1358.19,1383.97,1296.21,1383.97,STOP,6,-1.999,-1.053
BSE,2025-05-14,2025-05-15,2025-05-20,BLOWOFF EXTENSION,56.0,2408.4,2492.38,2142.23,2504.4,STOP,3,-4.088,-1.172
BAJAJ-AUTO,2023-04-13,2023-04-17,2023-04-20,BLOWOFF EXTENSION,59.0,3939.48,4004.6,3690.15,4004.6,STOP,3,-1.754,-1.061
BAJAJ-AUTO,2025-05-27,2025-05-28,2025-06-02,DEAD-CAT BOUNCE,52.0,8551.47,8711.97,8100.36,8100.36,TARGET,3,5.178,2.759
BAJAJ-AUTO,2025-08-20,2025-08-21,2025-09-01,BLOWOFF EXTENSION,60.0,8633.24,8790.58,8237.57,8790.58,STOP,6,-1.923,-1.055
BAJFINANCE,2024-04-01,2024-04-02,2024-04-12,BLOWOFF EXTENSION,71.0,708.92,726.25,664.66,710.02,TIME_STOP,7,-0.255,-0.104
