symbol,close,score,setup,rsi2,rsi14,pct_b,zscore,atr_stretch,ret5_pct,consec_up,vol_climax,adx,below_200dma,turnover_cr,entry,stop,target_20ema,risk_pct,reward_risk,fno,name,industry
ABB,7667.5,65.0,BLOWOFF EXTENSION,98.8,69.7,1.26,3.05,2.8,12.4,3,Y,13.9,,288.9,7667.5,7981.54,7029.3,4.1,2.03,Y,ABB India Ltd.,Capital Goods
DIXON,14507.0,62.0,BLOWOFF EXTENSION,96.2,75.7,1.07,2.3,3.42,7.6,2,Y,28.9,,890.4,14507.0,14799.85,12934.16,2.02,5.37,Y,Dixon Technologies (India) Ltd.,Consumer Durables
HSCL,722.35,60.0,BLOWOFF EXTENSION,99.2,65.8,1.21,2.82,1.98,11.1,6,Y,15.8,,799.1,722.35,740.79,668.64,2.55,2.91,,Himadri Speciality Chemical Ltd.,Chemicals
UPL,625.85,59.0,DEAD-CAT BOUNCE,97.7,59.9,1.04,2.18,1.56,7.6,3,,19.5,Y,167.0,625.85,633.22,599.47,1.18,3.58,Y,UPL Ltd.,Chemicals
JSL,737.5,58.0,DEAD-CAT BOUNCE,92.2,62.5,1.13,2.53,1.63,3.9,3,,19.5,Y,43.1,737.5,746.35,707.52,1.2,3.39,,Jindal Stainless Ltd.,Metals & Mining
INDIACEM,397.85,58.0,DEAD-CAT BOUNCE,92.1,61.3,1.22,2.88,1.49,6.9,2,Y,17.0,Y,10.4,397.85,402.52,382.79,1.17,3.23,,India Cements Ltd.,Construction Materials
ECLERX,1759.7,57.0,DEAD-CAT BOUNCE,96.4,74.9,0.99,1.97,3.09,13.1,1,,24.6,Y,58.6,1759.7,1804.36,1545.5,2.54,4.8,,eClerx Services Ltd.,Services
DIVISLAB,7316.0,55.0,BLOWOFF EXTENSION,99.4,74.9,1.08,2.33,2.9,7.4,6,,31.2,,276.5,7316.0,7427.53,6880.72,1.52,3.9,Y,Divi's Laboratories Ltd.,Healthcare
CHALET,871.95,55.0,BLOWOFF EXTENSION,98.0,68.8,1.08,2.31,1.95,6.5,6,,25.3,,12.2,871.95,880.69,826.72,1.0,5.17,,Chalet Hotels Ltd.,Consumer Services
HEG,608.45,55.0,BLOWOFF EXTENSION,93.2,69.5,1.18,2.72,2.73,18.3,2,,18.5,,81.8,608.45,621.36,549.84,2.12,4.54,,H.E.G. Ltd.,Capital Goods
ERIS,1488.4,53.0,BLOWOFF EXTENSION,98.8,63.7,1.07,2.3,1.24,4.1,6,Y,14.6,,10.6,1488.4,1509.03,1438.67,1.39,2.41,,Eris Lifesciences Ltd.,Healthcare
SUMICHEM,540.55,49.0,OVERBOUGHT (weak ctx),97.2,69.2,0.91,1.64,2.6,12.3,6,,27.2,,114.0,540.55,554.73,488.84,2.62,3.65,,Sumitomo Chemical India Ltd.,Chemicals
MRPL,173.33,49.0,BLOWOFF EXTENSION,89.7,65.8,1.23,2.92,2.33,15.8,2,Y,16.3,,276.8,173.33,180.21,156.47,3.97,2.45,,Mangalore Refinery & Petrochemicals Ltd.,Oil Gas & Consumable Fuels
SRF,2889.3,49.0,BLOWOFF EXTENSION,95.8,63.9,1.16,2.64,1.81,4.8,3,Y,10.9,,130.3,2889.3,2933.48,2763.01,1.53,2.86,Y,SRF Ltd.,Chemicals
JSWCEMENT,142.29,48.0,OVERBOUGHT (weak ctx),91.5,70.8,1.03,2.14,2.13,5.6,2,,28.3,,31.5,142.29,143.62,135.27,0.94,5.26,,JSW Cement Ltd.,Construction Materials
BHEL,435.4,48.0,OVERBOUGHT (weak ctx),95.0,66.3,1.05,2.19,2.19,14.1,2,Y,20.7,,699.0,435.4,444.84,401.75,2.17,3.56,Y,Bharat Heavy Electricals Ltd.,Capital Goods
DEEPAKNTR,1741.8,47.0,BLOWOFF EXTENSION,98.9,64.6,1.06,2.26,1.82,7.4,6,,19.9,,34.0,1741.8,1777.55,1643.39,2.05,2.75,,Deepak Nitrite Ltd.,Chemicals
KALYANKJIL,546.6,46.0,OVERBOUGHT (weak ctx),93.0,81.8,0.99,1.97,4.45,23.4,0,,27.1,,1707.8,546.6,561.71,437.8,2.76,7.2,Y,Kalyan Jewellers India Ltd.,Consumer Durables
GRAPHITE,655.1,44.0,OVERBOUGHT (weak ctx),94.9,56.5,1.01,2.04,1.17,12.8,2,Y,20.9,,54.1,655.1,671.82,627.43,2.55,1.65,,Graphite India Ltd.,Capital Goods
APTUS,299.95,43.0,OVERBOUGHT (weak ctx),98.5,71.9,0.95,1.78,2.1,7.3,6,,31.8,,33.7,299.95,303.04,282.05,1.03,5.8,,Aptus Value Housing Finance India Ltd.,Financial Services
ABBOTINDIA,27870.0,43.0,OVERBOUGHT (weak ctx),97.9,69.1,0.96,1.84,2.36,4.1,6,,24.1,,35.1,27870.0,28053.84,26700.04,0.66,6.36,,Abbott India Ltd.,Healthcare
SHYAMMETL,1040.5,42.0,OVERBOUGHT (weak ctx),91.5,70.1,1.01,2.03,2.03,9.7,1,,28.6,,49.1,1040.5,1066.16,982.31,2.47,2.27,,Shyam Metalics and Energy Ltd.,Capital Goods
DALBHARAT,1830.3,41.0,DEAD-CAT BOUNCE,89.8,62.2,1.02,2.08,1.69,5.1,3,,18.4,Y,49.4,1830.3,1851.43,1756.41,1.15,3.5,Y,Dalmia Bharat Ltd.,Construction Materials
PGEL,620.95,38.0,BLOWOFF EXTENSION,96.3,73.7,1.06,2.26,2.59,6.4,1,Y,35.4,,127.1,620.95,636.03,568.85,2.43,3.45,Y,PG Electroplast Ltd.,Consumer Durables
ENDURANCE,2763.5,38.0,OVERBOUGHT (weak ctx),90.3,63.4,1.04,2.16,1.12,2.1,2,Y,20.0,,36.9,2763.5,2818.3,2676.8,1.98,1.58,,Endurance Technologies Ltd.,Automobile and Auto Components
GABRIEL,1363.2,35.0,BLOWOFF EXTENSION,92.8,70.3,1.17,2.69,2.34,8.7,2,,37.8,,63.6,1363.2,1386.18,1245.54,1.69,5.12,,Gabriel India Ltd.,Automobile and Auto Components
