symbol,close,score,setup,rsi2,rsi14,pct_b,zscore,atr_stretch,ret5_pct,consec_up,vol_climax,adx,below_200dma,turnover_cr,day_low,atr14,entry,stop,target_20ema,risk_pct,reward_risk,fno,lot_size,name,industry
SBICARD,654.7,84.0,DEAD-CAT BOUNCE,99.0,66.3,1.02,2.08,2.12,7.0,7,Y,16.5,Y,106.3,637.0,16.89,654.7,674.64,618.83,3.05,1.8,Y,800,SBI Cards and Payment Services Ltd.,Financial Services
ECLERX,1979.8,83.0,BLOWOFF EXTENSION,99.5,82.9,1.16,2.66,4.65,22.1,2,Y,27.9,,91.5,1744.2,84.52,1979.8,2109.52,1586.86,6.55,3.03,,0,eClerx Services Ltd.,Services
TCS,2269.0,76.0,DEAD-CAT BOUNCE,99.4,63.6,1.09,2.38,2.08,10.3,6,,19.3,Y,1108.0,2215.1,63.71,2269.0,2338.71,2136.32,3.07,1.9,Y,225,Tata Consultancy Services Ltd.,Information Technology
APTUS,306.85,73.0,BLOWOFF EXTENSION,99.4,75.4,1.0,2.01,2.55,8.1,7,,33.5,,35.0,296.95,8.79,306.85,317.79,284.41,3.57,2.05,,0,Aptus Value Housing Finance India Ltd.,Financial Services
KALYANKJIL,574.4,72.0,BLOWOFF EXTENSION,97.8,84.1,1.0,2.0,4.89,20.6,1,,29.8,,1854.8,541.25,25.29,574.4,602.79,450.81,4.94,4.35,Y,1350,Kalyan Jewellers India Ltd.,Consumer Durables
TECHM,1572.9,66.0,BLOWOFF EXTENSION,96.5,69.0,1.11,2.43,2.5,8.1,3,Y,16.0,,396.4,1527.3,47.46,1572.9,1632.46,1454.1,3.79,1.99,Y,600,Tech Mahindra Ltd.,Information Technology
AIIL,571.0,65.0,BLOWOFF EXTENSION,94.5,67.0,1.25,2.99,2.28,11.1,2,Y,19.9,,18.8,511.15,22.32,571.0,607.17,520.17,6.33,1.41,,0,Authum Investment & Infrastructure Ltd.,Financial Services
INDIACEM,410.3,65.0,BLOWOFF EXTENSION,96.8,67.6,1.29,3.18,2.34,7.8,3,Y,18.2,,12.4,395.05,10.65,410.3,423.75,385.41,3.28,1.85,,0,India Cements Ltd.,Construction Materials
HSCL,741.55,62.0,BLOWOFF EXTENSION,99.6,68.9,1.19,2.76,2.36,12.3,7,,17.4,,820.6,706.55,27.94,741.55,772.44,675.59,4.17,2.14,,0,Himadri Speciality Chemical Ltd.,Chemicals
MRPL,174.49,52.0,BLOWOFF EXTENSION,90.8,66.5,1.1,2.42,2.12,7.4,3,Y,17.8,,315.7,165.37,7.7,174.49,186.6,158.18,6.94,1.35,,0,Mangalore Refinery & Petrochemicals Ltd.,Oil Gas & Consumable Fuels
JSL,737.5,47.0,DEAD-CAT BOUNCE,92.2,62.5,1.02,2.08,1.53,2.9,0,,19.6,Y,41.4,732.4,17.73,737.5,759.48,710.38,2.98,1.23,,0,Jindal Stainless Ltd.,Metals & Mining
ABBOTINDIA,28055.0,43.0,OVERBOUGHT (weak ctx),98.9,70.7,0.94,1.77,2.4,3.3,7,,25.2,,35.6,27445.0,511.76,28055.0,28681.76,26829.09,2.23,1.96,,0,Abbott India Ltd.,Healthcare
